ITEM_ID,DIST_CODE,ITEM_NAME,RECEIPT_NAME,CATEGORY,UNIT,ITEM_TYPE,COMMENT,LATEST_PRICE,SUPPLIER_ID,U_ACTIVE_INA,U_BIZERBA,U_BRAND,U_CASE_SIZE,U_MINOR_REPO,U_COOKING_IN,U_COUNTRY,DATE_CREAT,DATE_MODIF,U_DESCRIPTIO,U_EXPIRY_DAT,U_INGREDIENT,U_KEYWORD,U_NOTES,U_ORDER,U_PLU,U_PRICE,U_SILVERWARE,U_SKU,U_STORAGE,U_STORAGE_TY,U_TYPE,U_UPC_CODE,U_USERNAME_C,U_USERNAME_M,U_PRICE_PER,U_TAX,U_SCALE
25470,BIOB 40,Bio Bio Old Cheddar,BioBioCheddar,Cheese,2 kg,Market,"SHARP (9-12 MO) OLD RAW MILK, ORGANIC CHEDDAR (2 kg.)",1,18,Active,Yes,BIO BIO ORGANIC RAW MILK 2 KG,,M - Cheese,,,02/09/2010,10/09/2011,,,,,,0.00,20230,3.990000000000000,,,,,,20230,Chris Klugman,Chris Klugman,100.0,0,
25501,Q 300,Camembert,Camembert,Cheese,1 kg,Market,CAMEMBERT  DOUBLE CREAM 1.0 kg,2,18,Active,Yes,QUEBEC,,M - Cheese,,,02/09/2010,28/08/2011,Double cream,,,,,0.00,20261,3.990000000000000,,,,,,20261,Chris Klugman,Chris Klugman,100.0,0,No
25502,Q 670,Cendre des Pres,CendrePres,Cheese,1.8 kg,Market,"CENDRE DES PRES, 1.8 kg",3,18,Active,Yes,QUEBEC,,M - Cheese,,,23/09/2010,28/08/2011,"A unique product, this artisanal cheese is made of cow milk and possesses a bloomy rind. A line of maple wood ash lends this cheese an exceptional taste of farm fresh butter.",,Cow's Milk,,Quebec,0.00,20262,4.250000000000000,,,,,,20262,Chris Klugman,Chris Klugman,100.0,0,
25510,Q 470,Baluchon,Baluchon,Cheese,1.8 kg,Market,LE BALACHON RAW MILK 1.8 KG.,4,14,Active,Yes,QUEBEC,,M - Cheese,,,23/09/2010,28/08/2011,"Based on an Oka-style recipe, Baluchon is an organic, raw milk, washed rind cheese that is aged a minimum of 60 days. It has a semi-firm, and moist paste and a slight sheen to its butter-yellow colour. The aroma is fresh, creamy and barny. The flavour ni",,Organic Raw Cow's Milk,,Quebec,0.00,20270,6.990000000000000,,,,,,20270,Chris Klugman,Chris Klugman,100.0,0,
25536,FRB 120,Bleu D'Auvergne,BlueDAuvergne,Cheese,2.2 kg,Market,BLEU D'AUVERGNE 2.2 kg,5,35,Active,Yes,FRENCH,,M - Cheese,,,15/10/2010,28/08/2011,"Bleu d'Auvergne is made in the traditional manner from cow's milk and features blue veining throughout. Its moist, sticky rind conceals a soft paste possessing a grassy, herbaceous, and (with age) spicy, pungent taste.",,Raw Cow's Milk,,France,0.00,20296,5.190000000000000,,,,,,20296,Chris Klugman,Chris Klugman,100.0,0,
25546,ITB 760,Pecorino al Tartuffo,PecorinoTartuffo,Cheese,per kg,Market,TARTUFO (Pecorino w Truffles) 1/2 wheel (per kg)  (Sheep),6,11,Active,Yes,ITALIAN STYLE,,M - Cheese,,,08/09/2010,10/09/2011,,,Sheep's Milk,,Italy,0.00,20306,7.950000000000000,,,,,,20306,Chris Klugman,Chris Klugman,100.0,0,No
25559,GEX470,Grand Creme,GrandCreme,Cheese,1.8 kg,Market,"GRAND CRÈME DELIN TRIPLE CREAM, 1.8 kg",7,18,Active,Yes,FRANCE,,M - Cheese,,,08/09/2010,10/09/2011,,,,,,0.00,20319,6.500000000000000,,,,,,20319,Chris Klugman,Chris Klugman,100.0,0,
25568,GEF470,Le Marechal,LeMarechal,Cheese,7.5 kg,Market,"LE MARECHAL, Artisinal, Cave aged, Herb, Raw milk, 7.5 kg",8,18,Active,Yes,SWISS,,M - Cheese,,Switzerland,06/12/2010,28/08/2011,"This hard cheese, made from pure milk, has a subtle but rustic flavour, thanks to the herbs sprinkled on it while it matures.",,Unpasteurized Cow's Milk,,Switzerland,0.00,20328,5.990000000000000,,,,,,20328,Chris Klugman,Chris Klugman,100.0,0,No
25587,Q635,Reserve Le Parade,ReserveParade,Cheese,1.8 kg,Market,"RESERVE LA PERADE, 1.8kg",9,35,Active,Yes,QUEBEC,,M - Cheese,,,06/12/2010,28/08/2011,,,,,Quebec,0.00,20347,8.190000000000000,,,,,,20347,Chris Klugman,Chris Klugman,100.0,0,
25638,4064,Cape Vessey,CapeVessey,Cheese,per kg,Market,Cape Vessey  - goat washed rind,10,14,Active,Yes,Fifth Town Artisan Cheese,,M - Cheese,,,06/12/2010,28/08/2011,"Petra Cooper has gained renown for her soft ripened goat's milk and sheep milk cheeses; this is her first release of a hard, aged cheese. A rare goat's milk washed rind, the combination of the sweetness of the milk with the salty, yeasty flavours of the",,Goat's Milk,,Ontario,0.00,20398,10.690000000000000,,,,,,20398,Chris Klugman,Chris Klugman,100.0,0,No
